Time,PosCart,VelCart,PosPend,VelPend,CtrlVec
1295.312,0.009,0.0,0.097,0.0,113.0
1295.322,0.009,0.0,0.097,0.0,113.0
1295.332,0.009,0.0,0.097,0.0,113.0
1295.342,0.009,0.0,0.097,0.0,113.0
1295.352,0.009,0.0,0.097,0.0,113.0
1295.362,0.009,0.0,0.097,0.0,176.0
1295.372,0.009,0.0,0.091,-0.042,176.0
1295.382,0.011,0.002,0.084,-0.071,176.0
1295.392,0.012,0.005,0.076,-0.077,-167.0
1295.402,0.014,0.007,0.073,-0.037,-167.0
1295.412,0.013,0.004,0.078,0.034,-167.0
1295.422,0.012,0.001,0.081,0.028,-167.0
1295.432,0.01,-0.003,0.089,0.068,-167.0
1295.442,0.008,-0.006,0.099,0.097,-167.0
1295.452,0.006,-0.008,0.107,0.082,101.0
1295.462,0.005,-0.01,0.112,0.058,101.0
1295.472,0.004,-0.01,0.115,0.032,122.0
1295.482,0.004,-0.008,0.115,0.006,122.0
1295.492,0.004,-0.007,0.115,0.001,122.0
1295.502,0.004,-0.005,0.115,0.0,107.0
1295.512,0.004,-0.004,0.115,0.0,107.0
1295.522,0.004,-0.004,0.115,0.0,107.0
1295.532,0.004,-0.003,0.115,0.0,107.0
1295.542,0.004,-0.002,0.115,0.0,107.0
1295.552,0.004,-0.002,0.112,-0.021,107.0
1295.562,0.004,-0.002,0.112,-0.004,107.0
1295.573,0.004,-0.001,0.11,-0.022,107.0
1295.583,0.004,-0.001,0.11,-0.005,124.0
1295.593,0.004,-0.001,0.107,-0.022,124.0
1295.603,0.004,-0.001,0.104,-0.026,124.0
1295.613,0.004,-0.001,0.104,-0.005,124.0
1295.623,0.004,-0.001,0.104,-0.001,124.0
1295.633,0.004,-0.001,0.102,-0.021,124.0
1295.643,0.004,0.0,0.099,-0.025,137.0
1295.653,0.004,0.0,0.099,-0.005,137.0
1295.663,0.004,0.0,0.097,-0.022,137.0
1295.673,0.004,0.0,0.094,-0.026,137.0
1295.683,0.004,0.0,0.091,-0.026,137.0
1295.693,0.004,0.0,0.091,-0.005,137.0
1295.703,0.004,0.0,0.089,-0.022,137.0
1295.713,0.004,0.0,0.086,-0.026,137.0
1295.723,0.004,0.0,0.084,-0.026,162.0
1295.733,0.004,0.0,0.081,-0.026,162.0
1295.743,0.005,0.002,0.076,-0.047,162.0
1295.753,0.006,0.004,0.068,-0.073,209.0
1295.763,0.008,0.007,0.052,-0.14,209.0
1295.773,0.012,0.013,0.034,-0.175,209.0
1295.783,0.017,0.02,0.01,-0.224,209.0
1295.793,0.022,0.026,-0.016,-0.254,209.0
1295.803,0.028,0.032,-0.045,-0.281,209.0
1295.813,0.034,0.038,-0.076,-0.308,209.0
1295.823,0.04,0.043,-0.105,-0.292,209.0
1295.833,0.047,0.048,-0.136,-0.31,209.0
1295.843,0.053,0.052,-0.168,-0.314,185.0
1295.853,0.06,0.055,-0.197,-0.293,185.0
1295.863,0.067,0.057,-0.215,-0.205,-110.0
1295.873,0.072,0.057,-0.228,-0.146,-110.0
1295.883,0.076,0.054,-0.238,-0.113,-110.0
1295.893,0.08,0.049,-0.244,-0.065,-110.0
1295.903,0.082,0.044,-0.244,-0.013,-110.0
1295.913,0.083,0.038,-0.241,0.018,-183.0
1295.923,0.084,0.031,-0.228,0.108,-183.0
1295.933,0.082,0.022,-0.204,0.21,-183.0
1295.943,0.08,0.012,-0.173,0.293,-183.0
1295.953,0.077,0.004,-0.142,0.31,-183.0
1295.963,0.073,-0.004,-0.105,0.355,-183.0
1295.973,0.07,-0.01,-0.071,0.343,-183.0
1295.983,0.066,-0.015,-0.032,0.383,-183.0
1295.993,0.062,-0.02,0.008,0.39,-189.0
1296.003,0.058,-0.024,0.047,0.392,-189.0
1296.013,0.054,-0.027,0.091,0.434,-189.0
1296.023,0.05,-0.031,0.136,0.443,-189.0
1296.033,0.045,-0.034,0.18,0.444,-189.0
1296.043,0.04,-0.037,0.225,0.445,-157.0
1296.053,0.035,-0.039,0.267,0.424,-157.0
1296.063,0.031,-0.04,0.303,0.378,-157.0
1296.073,0.027,-0.04,0.343,0.39,-157.0
1296.083,0.024,-0.039,0.377,0.35,-157.0
1296.093,0.021,-0.038,0.408,0.321,-157.0
1296.103,0.018,-0.036,0.437,0.294,-157.0
1296.113,0.015,-0.034,0.466,0.289,-157.0
1296.123,0.012,-0.033,0.489,0.246,-114.0
1296.133,0.01,-0.031,0.51,0.217,-114.0
1296.143,0.008,-0.029,0.529,0.19,-114.0
1296.153,0.006,-0.027,0.542,0.142,-114.0
1296.163,0.005,-0.024,0.55,0.091,-114.0
1296.173,0.004,-0.021,0.555,0.06,-114.0
1296.183,0.003,-0.018,0.557,0.033,-114.0
1296.193,0.003,-0.015,0.557,0.006,-114.0
1296.203,0.003,-0.012,0.552,-0.041,-114.0
1296.213,0.003,-0.01,0.544,-0.071,191.0
1296.223,0.004,-0.007,0.531,-0.119,191.0
1296.233,0.006,-0.001,0.51,-0.192,191.0
1296.243,0.009,0.006,0.481,-0.269,191.0
1296.253,0.013,0.013,0.447,-0.326,191.0
1296.263,0.017,0.018,0.411,-0.359,138.0
1296.273,0.022,0.023,0.371,-0.386,138.0
1296.283,0.026,0.026,0.335,-0.371,138.0
1296.293,0.029,0.028,0.296,-0.388,138.0

