Time,PosCart,VelCart,AccCart,PosPend,VelPend,CtrlVec
,,,,,,
293.535,-0.042,0.021,2.387,3.131,-0.03,32.62
293.585,-0.042,-0.026,2.915,3.133,-0.071,3.155
293.635,-0.041,0.007,-0.755,3.136,0.125,-22.211
293.686,-0.041,0.014,-1.56,3.133,-0.003,5.663
293.736,-0.041,0.0,-0.048,3.133,0.0,8.49
293.787,-0.041,0.0,0.0,3.131,-0.029,44.108
293.837,-0.041,0.0,0.0,3.128,-0.019,92.488
293.887,-0.04,0.018,2.75,3.123,-0.096,186.828
293.938,-0.035,0.036,-3.994,3.144,0.128,-34.459
293.988,-0.035,0.041,-4.566,3.139,0.213,4.429
294.038,-0.035,-0.014,1.505,3.133,-0.233,43.92
294.089,-0.034,-0.006,0.683,3.139,0.062,-12.225
294.139,-0.033,0.038,0.485,3.133,-0.004,51.839
294.189,-0.032,-0.021,2.316,3.133,-0.325,47.279
294.24,-0.03,-0.005,0.486,3.139,0.054,-5.828
294.29,-0.029,0.059,-1.779,3.136,0.12,31.78
294.34,-0.029,-0.021,2.293,3.133,-0.31,49.117
294.391,-0.026,0.064,-2.371,3.141,0.177,-28.738
294.441,-0.026,0.039,-4.414,3.133,-0.041,54.487
294.492,-0.025,-0.048,5.333,3.136,-0.244,21.601
294.542,-0.023,0.061,-2.017,3.136,0.088,39.327
294.592,-0.022,0.007,-0.793,3.136,-0.103,34.31
294.643,-0.02,0.045,-0.253,3.136,-0.001,44.917
294.693,-0.019,-0.002,4.991,3.136,-0.23,40.531
294.743,-0.017,-0.005,-9.022,3.141,0.052,-13.345
294.794,-0.015,0.058,-1.736,3.139,0.187,25.395
294.844,-0.015,0.013,-1.452,3.136,-0.04,55.654
294.894,-0.013,0.057,-1.562,3.136,0.0,72.319
294.945,-0.011,-0.024,2.642,3.139,-0.221,37.181
294.995,-0.009,0.062,-6.971,3.144,0.238,-14.374
295.045,-0.008,0.028,1.645,3.139,-0.021,38.328
295.096,-0.006,0.054,-6.071,3.141,0.048,16.69
295.146,-0.005,0.047,4.357,3.141,-0.014,8.837
295.196,-0.005,0.013,-1.485,3.139,-0.074,33.498
295.247,-0.003,-0.006,-4.157,3.144,0.041,-22.562
295.297,-0.001,0.062,2.688,3.144,0.245,-16.995
295.348,-0.001,0.037,0.636,3.139,-0.018,41.482
295.398,-0.001,-0.031,3.362,3.139,-0.223,39.79
295.448,0.001,-0.003,-4.473,3.144,0.046,-11.552
295.499,0.002,0.04,-4.47,3.144,0.099,-11.414
295.549,0.002,0.044,-4.925,3.141,0.142,22.633
295.599,0.003,0.016,3.039,3.139,-0.079,51.707
295.65,0.004,-0.026,-1.961,3.144,-0.113,-7.721
295.7,0.005,0.023,-7.379,3.144,0.063,-6.814
295.75,0.005,0.047,-0.407,3.144,0.186,-6.15
295.801,0.005,0.029,1.496,3.141,-0.009,21.159
295.851,0.005,0.012,3.397,3.141,-0.021,20.699
295.901,0.005,-0.034,3.789,3.141,-0.074,19.771
295.952,0.005,-0.033,3.658,3.144,0.023,-7.755
296.002,0.006,0.028,-3.128,3.144,0.101,-0.013
296.052,0.005,0.013,3.322,3.141,-0.026,24.307
296.103,0.005,-0.027,2.926,3.141,-0.063,21.715
296.153,0.005,-0.046,-4.456,3.141,-0.2,19.813
296.204,0.005,-0.02,-2.649,3.144,0.027,-8.696
296.254,0.005,0.0,-4.771,3.144,0.05,-11.069
296.304,0.004,-0.003,5.068,3.141,-0.067,9.433
296.355,0.003,-0.026,-1.935,3.144,0.002,-25.587
296.405,0.001,-0.006,5.407,3.139,-0.059,27.215
296.455,0.001,-0.042,-0.17,3.144,0.01,-33.54
296.506,0.0,-0.003,0.273,3.139,-0.049,20.539
296.556,-0.002,-0.055,6.077,3.139,-0.111,19.803
296.606,-0.002,-0.033,3.653,3.141,0.004,-7.333
296.657,-0.004,0.011,-1.295,3.141,0.162,-7.98
296.707,-0.006,-0.054,1.206,3.139,-0.171,13.743
296.757,-0.006,-0.012,1.353,3.144,0.022,-49.962
296.808,-0.007,-0.04,4.368,3.147,0.007,-105.195
296.858,-0.011,-0.072,7.932,3.136,-0.317,-11.936
296.909,-0.012,-0.014,-3.316,3.139,0.071,-26.823
296.959,-0.013,-0.03,-1.441,3.141,0.032,-60.271
297.009,-0.016,-0.071,3.035,3.133,-0.255,16.615
